Country,variable,value
New Zealand,Stakeholder engagement for developing regulations,2.5
Norway,Stakeholder engagement for developing regulations,2.2
OECD - Total,Stakeholder engagement for developing regulations,2.1
Poland,Stakeholder engagement for developing regulations,2.6
Portugal,Stakeholder engagement for developing regulations,1.5
Russia,Stakeholder engagement for developing regulations,2.041953198
Slovak Republic,Stakeholder engagement for developing regulations,3.0
Slovenia,Stakeholder engagement for developing regulations,2.5
South Africa,Stakeholder engagement for developing regulations,0.617380323
Spain,Stakeholder engagement for developing regulations,1.8
Sweden,Stakeholder engagement for developing regulations,2.0
Switzerland,Stakeholder engagement for developing regulations,2.3
Türkiye,Stakeholder engagement for developing regulations,1.5
United Kingdom,Stakeholder engagement for developing regulations,3.1
United States,Stakeholder engagement for developing regulations,3.1
Australia,Student skills,2506.0
Austria,Student skills,2446.0
Belgium,Student skills,2490.0
Brazil,Student skills,2043.0
Canada,Student skills,2588.0
Chile,Student skills,2230.0
Colombia,Student skills,2049.0
Costa Rica,Student skills,2113.0
Czech Republic,Student skills,2469.0
Denmark,Student skills,2505.0
Estonia,Student skills,2632.0
Finland,Student skills,2594.0
France,Student skills,2474.0
Germany,Student skills,2515.0
Greece,Student skills,2279.0
Hungary,Student skills,2391.0
Iceland,Student skills,2391.0
Ireland,Student skills,2553.0
Israel,Student skills,2330.0
Italy,Student skills,2378.0
Japan,Student skills,2562.0
Korea,Student skills,2588.0
Latvia,Student skills,2421.0
Lithuania,Student skills,2394.0
Luxembourg,Student skills,2382.0
Mexico,Student skills,2095.0
Netherlands,Student skills,2491.0
New Zealand,Student skills,2529.0
Norway,Student skills,2482.0
OECD - Total,Student skills,2443.0
Poland,Student skills,2568.0
Portugal,Student skills,2467.0
Russia,Student skills,2397.0
Slovak Republic,Student skills,2322.0
Slovenia,Student skills,2514.0
South Africa,Student skills,1502.781611
Spain,Student skills,1964.709369
Sweden,Student skills,2517.0
Switzerland,Student skills,2468.0
Türkiye,Student skills,2337.0
United Kingdom,Student skills,2531.0
United States,Student skills,2504.0
Australia,Time devoted to leisure and personal care,42.81
Austria,Time devoted to leisure and personal care,43.52
Belgium,Time devoted to leisure and personal care,46.45
Brazil,Time devoted to leisure and personal care,43.14150121
Canada,Time devoted to leisure and personal care,43.64
Chile,Time devoted to leisure and personal care,42.20098125
Colombia,Time devoted to leisure and personal care,43.4630612
Costa Rica,Time devoted to leisure and personal care,42.62751643
Czech Republic,Time devoted to leisure and personal care,46.86147597
Denmark,Time devoted to leisure and personal care,46.04853348
Estonia,Time devoted to leisure and personal care,44.93
Finland,Time devoted to leisure and personal care,45.52
France,Time devoted to leisure and personal care,48.52
Germany,Time devoted to leisure and personal care,46.89
Greece,Time devoted to leisure and personal care,45.21
Hungary,Time devoted to leisure and personal care,45.13
Iceland,Time devoted to leisure and personal care,44.33845267
Ireland,Time devoted to leisure and personal care,43.55
Israel,Time devoted to leisure and personal care,44.80657397
Italy,Time devoted to leisure and personal care,48.89
Japan,Time devoted to leisure and personal care,42.3
Korea,Time devoted to leisure and personal care,44.4
Latvia,Time devoted to leisure and personal care,44.33979765
Lithuania,Time devoted to leisure and personal care,44.47478847
Luxembourg,Time devoted to leisure and personal care,41.24848668
Mexico,Time devoted to leisure and personal care,42.19268171
Netherlands,Time devoted to leisure and personal care,46.52
New Zealand,Time devoted to leisure and personal care,44.0
Norway,Time devoted to leisure and personal care,47.06
OECD - Total,Time devoted to leisure and personal care,45.11
Poland,Time devoted to leisure and personal care,43.91
Portugal,Time devoted to leisure and personal care,45.0652465
Russia,Time devoted to leisure and personal care,43.72226825
Slovak Republic,Time devoted to leisure and personal care,44.10579275
Slovenia,Time devoted to leisure and personal care,44.61309659
South Africa,Time devoted to leisure and personal care,37.85928353
Spain,Time devoted to leisure and personal care,47.11
Sweden,Time devoted to leisure and personal care,47.62376094
Switzerland,Time devoted to leisure and personal care,47.2150775
Türkiye,Time devoted to leisure and personal care,43.48
United Kingdom,Time devoted to leisure and personal care,44.82
United States,Time devoted to leisure and personal care,43.66
Australia,Voter turnout,92.0
Austria,Voter turnout,76.0
Belgium,Voter turnout,88.0
Brazil,Voter turnout,80.0
Canada,Voter turnout,68.0
Chile,Voter turnout,47.0
Colombia,Voter turnout,53.0
Costa Rica,Voter turnout,66.0
Czech Republic,Voter turnout,62.0
Denmark,Voter turnout,85.0
Estonia,Voter turnout,64.0
Finland,Voter turnout,69.0
France,Voter turnout,75.0
Germany,Voter turnout,76.0
Greece,Voter turnout,58.0
Hungary,Voter turnout,70.0
Iceland,Voter turnout,81.0
Ireland,Voter turnout,63.0
Israel,Voter turnout,67.0
Italy,Voter turnout,73.0
Japan,Voter turnout,53.0
Korea,Voter turnout,77.0
Latvia,Voter turnout,55.0
Lithuania,Voter turnout,57.0
Luxembourg,Voter turnout,90.0
Mexico,Voter turnout,63.0
Netherlands,Voter turnout,79.0
New Zealand,Voter turnout,82.0
Norway,Voter turnout,78.0
OECD - Total,Voter turnout,69.0
Poland,Voter turnout,68.0
Portugal,Voter turnout,49.0
Russia,Voter turnout,68.0
Slovak Republic,Voter turnout,66.0
Slovenia,Voter turnout,53.0
South Africa,Voter turnout,66.0
Spain,Voter turnout,72.0
Sweden,Voter turnout,87.0
Switzerland,Voter turnout,45.0
Türkiye,Voter turnout,86.0
United Kingdom,Voter turnout,68.0
United States,Voter turnout,65.0
Australia,Water quality,276.0
Austria,Water quality,275.0
Belgium,Water quality,237.0
Brazil,Water quality,211.0
Canada,Water quality,271.0
Chile,Water quality,186.0
Colombia,Water quality,245.0
Costa Rica,Water quality,262.0
Czech Republic,Water quality,268.0
Denmark,Water quality,278.0
Estonia,Water quality,258.0
Finland,Water quality,290.0
France,Water quality,235.0
Germany,Water quality,273.0
Greece,Water quality,202.0
Hungary,Water quality,243.0
Iceland,Water quality,291.0
Ireland,Water quality,240.0
Israel,Water quality,230.0
Italy,Water quality,232.0
Japan,Water quality,261.0
Korea,Water quality,246.0
Latvia,Water quality,250.0
Lithuania,Water quality,249.0
Luxembourg,Water quality,255.0
Mexico,Water quality,225.0
Netherlands,Water quality,274.0
New Zealand,Water quality,254.0
Norway,Water quality,294.0
OECD - Total,Water quality,253.0
Poland,Water quality,247.0
Portugal,Water quality,268.0
Russia,Water quality,185.0
Slovak Republic,Water quality,244.0
Slovenia,Water quality,278.0
South Africa,Water quality,216.0
Spain,Water quality,228.0
Sweden,Water quality,292.0
Switzerland,Water quality,287.0
Türkiye,Water quality,186.0
United Kingdom,Water quality,246.0
United States,Water quality,264.0
Australia,Years in education,61.0
Austria,Years in education,51.0
Belgium,Years in education,58.0
Brazil,Years in education,48.0
Canada,Years in education,51.0
Chile,Years in education,52.0
Colombia,Years in education,42.0
Costa Rica,Years in education,47.08603401
Czech Republic,Years in education,53.0
Denmark,Years in education,58.0
Estonia,Years in education,53.0
Finland,Years in education,59.0
France,Years in education,50.0
Germany,Years in education,54.0
Greece,Years in education,57.0
Hungary,Years in education,49.0
Iceland,Years in education,57.0
Ireland,Years in education,54.0
Israel,Years in education,47.0
Italy,Years in education,50.0
Japan,Years in education,48.0
Korea,Years in education,52.0
Latvia,Years in education,55.0
Lithuania,Years in education,55.0
Luxembourg,Years in education,45.0
Mexico,Years in education,46.0
Netherlands,Years in education,57.0
New Zealand,Years in education,53.0
Norway,Years in education,55.0
OECD - Total,Years in education,53.0
Poland,Years in education,53.0
Portugal,Years in education,51.0
Russia,Years in education,49.0
Slovak Republic,Years in education,47.0
Slovenia,Years in education,55.0
South Africa,Years in education,37.69826727
Spain,Years in education,54.0
Sweden,Years in education,59.0
Switzerland,Years in education,52.0
Türkiye,Years in education,56.0
United Kingdom,Years in education,50.0
United States,Years in education,52.0
